time,coin,dir,px,sz,ntl,fee,closedPnl
6/30/2025 - 23:36:26,BTC,Open Long,106757,0.00014,14.945979999999999,0.002241,-0.002241
7/3/2025 - 03:41:57,BTC,Close Long,110041,0.00014,15.405739999999998,0.00231,0.45745
7/3/2025 - 10:05:11,XRP,Open Long,2.2468,8,17.9744,0.008088,-0.008088
7/3/2025 - 10:10:14,SOL,Open Long,150.53,0.13,19.5689,0.002935,-0.002935
7/7/2025 - 01:15:23,BTC,Open Long,108893,0.00018,19.600740000000002,0.00294,-0.00294
7/7/2025 - 07:57:32,XRP,Close Long,2.3192,8,18.5536,0.002783,0.5764170000000001
7/7/2025 - 12:40:10,HYPE,Open Long,38.925,0.51,19.85175,0.002977,-0.002977
7/9/2025 - 08:25:34,SOL,Close Long,155.25,0.13,20.1825,0.003027,0.610573
7/9/2025 - 11:10:11,HYPE,Close Long,40.136,0.51,20.46936,0.009211,0.608399
7/9/2025 - 19:06:38,SOL,Open Long,156.28,0.12,18.7536,0.002813,-0.002813
7/10/2025 - 10:25:02,BTC,Close Long,112310,0.00018,20.2158,0.009097,0.605963
7/10/2025 - 11:54:56,SOL,Close Long,161.04,0.12,19.3248,0.002898,0.5683020000000001
7/10/2025 - 12:32:21,LTC,Open Long,92.59,0.21,19.4439,0.008749,-0.008749
7/10/2025 - 18:55:55,PAXG,Open Long,3333.7,0.023,76.6751,0.034503,-0.034503
7/10/2025 - 20:13:07,LTC,Close Long,95.455,0.21,20.04555,0.003006,0.5986440000000001
7/10/2025 - 20:17:37,ETH,Open Long,2961.3,0.0108,31.982040000000005,0.014391,-0.014391
7/10/2025 - 20:37:04,LTC,Open Long,95.673,0.41,39.22593,0.017651,-0.017651
7/10/2025 - 23:31:11,ETH,Close Long,3010.8,0.0108,32.51664,0.004877,0.5297229999999999
7/11/2025 - 05:55:12,ETH,Open Long,2985,0.0067,19.9995,0.002999,-0.002999
7/11/2025 - 07:56:56,LTC,Close Long,97.202,0.41,39.852819999999994,0.005977,0.6209129999999999
7/11/2025 - 09:15:28,PAXG,Close Long,3361.8,0.023,77.3214,0.011598,0.634702
7/11/2025 - 10:25:15,BTC,Open Long,117296,0.00017,19.94032,0.002991,-0.002991
7/11/2025 - 10:25:17,SOL,Open Long,162.27,0.12,19.4724,0.008762,-0.008762
7/11/2025 - 13:46:44,PAXG,Open Long,3353.7,0.004,13.4148,0.006036,-0.006036
7/11/2025 - 16:00:16,SOL,Close Long,162.35,0.12,19.482,0.008766,0.0008339999999999997
7/11/2025 - 16:00:25,LTC,Open Long,94.559,0.21,19.85739,0.002978,-0.002978
7/11/2025 - 16:02:02,PAXG,Close Long,3344.6,0.004,13.3784,0.00602,-0.04242
7/11/2025 - 16:03:30,HYPE,Open Long,45.772,0.32,14.64704,0.006591,-0.006591
7/12/2025 - 04:36:55,HYPE,Close Long,47.201,0.32,15.104320000000001,0.002265,0.455015
7/12/2025 - 06:31:48,XRP,Open Long,2.7845,7,19.4915,0.002923,-0.002923
7/12/2025 - 06:55:12,HYPE,Open Long,46.36,0.43,19.9348,0.00897,-0.00897
7/12/2025 - 07:35:15,SOL,Open Long,159.5,0.12,19.14,0.00287,-0.00287
7/12/2025 - 19:10:59,HYPE,Close Long,47.802,0.43,20.554859999999998,0.009249,0.610811
7/13/2025 - 08:19:22,XRP,Close Long,2.878,7,20.146,0.009065,0.645435
7/13/2025 - 10:07:55,XRP,Open Long,2.854,70,199.78,0.089901,-0.089901
7/13/2025 - 12:00:13,XRP,Close Long,2.8654,70,200.578,0.030086,0.767914
7/13/2025 - 15:50:15,XRP,Open Long,2.8161,7,19.7127,0.00887,-0.00887
7/13/2025 - 16:35:17,HYPE,Open Long,48.381,0.29,14.030489999999999,0.002104,-0.002104
7/13/2025 - 16:35:19,HYPE,Open Long,48.381,0.12,5.80572,0.00087,-0.00087
7/13/2025 - 20:27:07,SOL,Close Long,164.43,0.12,19.7316,0.002959,0.588641
7/13/2025 - 20:35:38,PAXG,Open Long,3347.9,0.017,56.914300000000004,0.025611,-0.025611
7/13/2025 - 21:03:22,XRP,Close Long,2.9033,7,20.3231,0.003048,0.607352
7/13/2025 - 21:42:43,BTC,Close Long,120987,0.00017,20.567790000000002,0.003085,0.624385
7/13/2025 - 21:46:20,HYPE,Close Long,49.86,0.41,20.4426,0.003066,0.603324
7/13/2025 - 22:34:50,LTC,Close Long,97.443,0.2,19.4886,0.002923,0.573877
7/13/2025 - 22:34:51,LTC,Close Long,97.443,0.01,0.97443,0.000146,0.028694
7/14/2025 - 04:39:39,ETH,Close Long,3077.6,0.0067,20.61992,0.009278,0.611142
7/14/2025 - 10:00:17,SOL,Open Long,164.03,0.12,19.6836,0.002952,-0.002952
7/14/2025 - 10:00:17,BTC,Open Long,119967,0.00016,19.19472,0.002879,-0.002879
7/14/2025 - 10:01:08,HYPE,Open Long,47.739,0.41,19.572989999999997,0.002935,-0.002935
7/14/2025 - 19:30:11,ETH,Open Long,2979.1,0.0067,19.95997,0.008981,-0.008981
7/14/2025 - 19:30:26,XRP,Open Long,2.8899,6,17.339399999999998,0.0026,-0.0026